,"(Also Known As..., Alias)","(Audio, Audio brand)","(Audio, Speakers)","(Audio, Subwoofer)","(Audio, Surround sound)","(Basic Specs, 3D enabled)","(Basic Specs, Base discrete GPU brand)","(Basic Specs, CPU brand)","(Basic Specs, CPU family)","(Basic Specs, Carrier options)","(Basic Specs, Graphics type)","(Basic Specs, Integrated GPU model)","(Basic Specs, Laptop type)","(Basic Specs, Operating system)","(Basic Specs, Optical drive type)","(Basic Specs, Screen size (diagonal))","(Basic Specs, The Verge Battery Test)","(Basic Specs, Thickness)","(Basic Specs, Touch technology)","(Basic Specs, Weight)","(Battery, Chemistry)","(Battery, Quoted time)","(Battery, Removable)","(Battery, Size)","(Benchmarks, 3DMark06 (GPU))","(Benchmarks, 3DMark06 (IGP))","(Benchmarks, 3DMark11 (GPU))","(Benchmarks, 3DMark11 (IGP))","(Benchmarks, 3DMarkVantage (GPU))","(Benchmarks, 3DMarkVantage (IGP))","(Benchmarks, GeekBench)","(Benchmarks, HAWX)","(Benchmarks, Just Cause 2)","(Benchmarks, PCMarkVantage)","(Benchmarks, The Verge Battery Test)","(Benchmarks, The Verge Battery Test (extended battery))","(Benchmarks, XBench)","(Bundled Accessories, Bundled Accessories)","(Connectivity, 3G)","(Connectivity, 4G)","(Connectivity, 802.11n frequencies)","(Connectivity, Bluetooth)","(Connectivity, Bluetooth version)","(Connectivity, CDMA)","(Connectivity, Carrier options)","(Connectivity, GPS)","(Connectivity, GSM)","(Connectivity, LTE)","(Connectivity, NFC)","(Connectivity, Other carrier options)","(Connectivity, WWAN data standards supported)","(Connectivity, Wi-Fi)","(Connectivity, Wi-Fi options)","(Connectivity, WiMAX)","(Connectivity, Wireless video)","(Display (base), 3D enabled)","(Display (base), Backlight)","(Display (base), Display surface)","(Display (base), Multitouch)","(Display (base), PPI)","(Display (base), Resolution (X))","(Display (base), Resolution (Y))","(Display (base), Screen size (diagonal))","(Display (base), Technology)","(Display (base), Touch technology)","(Display (max), 3D enabled)","(Display (max), Backlit)","(Display (max), Multitouch)","(Display (max), PPI)","(Display (max), Resolution (X))","(Display (max), Resolution (Y))","(Display (max), Size (diagonal))","(Display (max), Technology)","(Display (max), Touch technology)","(GPU (base), Base discrete GPU brand)","(GPU (base), Dedicated VRAM size)","(GPU (base), Discrete GPU model)","(GPU (base), Graphics type)","(GPU (base), Integrated GPU brand)","(GPU (base), Integrated GPU model)","(GPU (base), SLI / Crossfire)","(GPU (max), Dedicated VRAM size)","(GPU (max), Discrete GPU brand)","(GPU (max), Discrete GPU model)","(GPU (max), Integrated GPU brand)","(GPU (max), Integrated GPU model)","(GPU (max), SLI / Crossfire)","(Hardware, Color)","(Hardware, Depth)","(Hardware, Laptop type)","(Hardware, Thickness)","(Hardware, Weight)","(Hardware, Width)","(Keyboard, Backlit)","(Keyboard, Number pad)","(Keyboard, Type)","(Memory, Base RAM size)","(Memory, Base RAM speed)","(Memory, Max. config RAM size)","(Memory, RAM slots)","(Memory, RAM type)","(Mouse, Multitouch)","(Mouse, Multitouch points)","(Mouse, Type(s))","(Optical Drive, Compatible media)","(Optical Drive, Optical drive type)","(Port options, 3.5mm digital optical audio (S/PDIF))","(Port options, 3.5mm headphone)","(Port options, 3.5mm line-in / microphone)","(Port options, 3.5mm mic / headphone combo)","(Port options, Card slot(s))","(Port options, Combo eSATA / USB)","(Port options, DVI)","(Port options, Digital optical audio (S/PDIF))","(Port options, DisplayPort)","(Port options, DisplayPort++)","(Port options, Docking connector)","(Port options, Ethernet)","(Port options, Ethernet type)","(Port options, FireWire 400)","(Port options, FireWire 800)","(Port options, HDMI)","(Port options, HDMI input(s))","(Port options, Micro DVI)","(Port options, Micro HDMI)","(Port options, Mini DVI)","(Port options, Mini DisplayPort)","(Port options, Mini HDMI)","(Port options, Mini VGA)","(Port options, Other)","(Port options, Proprietary (data))","(Port options, Thunderbolt)","(Port options, USB)","(Port options, USB 3.0)","(Port options, VGA)","(Port options, eSATA)","(Processor (base), CPU brand)","(Processor (base), CPU family)","(Processor (base), Clockspeed)","(Processor (base), Cores)","(Processor (base), Model)","(Processor (base), Turbo clockspeed)","(Processor (max), Brand)","(Processor (max), Clockspeed)","(Processor (max), Cores)","(Processor (max), Family)","(Processor (max), Model)","(Processor (max), Turbo clockspeed)","(Reference, Brand)","(Reference, Name)","(Reference, url)","(Security, Trusted platform module)","(Sensors, Accelerometer)","(Sensors, Ambient light)","(Sensors, Biometric scanner)","(Sensors, Proximity )","(Software, Notable apps)","(Software, Operating system)","(Storage, Base drive capacity)","(Storage, Base drive type)","(Storage, Card reader)","(Storage, Card reader support)","(Storage, Max. config HDD)","(Storage, Max. config Hybrid)","(Storage, Max. config SSD)","(Storage, Options)","(Webcam, Effective pixels)","(Webcam, Video framerate)","(Webcam, Video resolution)"
IdeaPad Y400,,"Dolby Home Theater v4, JBL",,,,,Nvida,,,,Switchable,,Mainstream,Windows 8,,14 inches,,1.29 inches,,5.51 pounds,,3 hr,,6 cell,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,,,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,Nvida,,GeForce GT 650M,Switchable,,,,,Nvidia,Geforce GT 650M,,,Yes,,9.64 inches,Mainstream,1.29 inches,5.51 pounds,13.77 inches,,,Chiclet,,,16 GB,,DDR3,,,Trackpad,"DVD±R/RW, BD-ROM",,1,,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,2,1,,,,,,,,,Intel,,,Ivy Bridge,Core i7,,Lenovo,IdeaPad Y400,http://www.theverge.com/products/ideapad-y400/6055,,,,,,,Windows 8,,,Yes,"Other, SD, Memory Stick, xD, MMC",1 TB,,16 GB,HDD (Unspecified RPM),,,720p
XPS 12 (2012),"XPS Duo 12, XPS 12 Ultrabook",Waves MaxxAudio,1,,,,,Intel,Ivy Bridge,,Integrated,Intel HD 4000,Convertible tablet,Windows 8,,12.5 inches,,0.59 inches,Capacitive,3.35 pounds,Lithium Ion (Li-Ion),6 hr,No,"47 Wh, 6 cell",,,,,,,,,,,,,,,,,2.4GHz,Yes,3.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,WiDi,,WLED,Glossy,Yes,,1920 px,1080 px,12.5 inches,IPS LCD,Capacitive,,,,,,,,,,,512 MB,,Integrated,Intel,Intel HD 4000,,,,,,,,Black,8.46 inches,Convertible tablet,0.59 inches,3.35 pounds,12.48 inches,Yes,,Chiclet,4 GB,1333 MHz,8 GB,,DDR3,,,Trackpad,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2,,,Intel,Ivy Bridge,1.7 GHz,2,Core i5-3317U ,2.6 GHz,Intel ,1.9 GHz,2,Ivy Bridge,Core i7-3517U,3.0 GHz,Dell,XPS 12 (2012),http://www.theverge.com/products/xps-12-2012/6047,,,,,,,Windows 8,128 GB,Flash (SSD),,,,,256 GB,Flash Memory (SSD),1.3 megapixels,,
IdeaPad S405,,Dolby Advanced Audio v2,2,,,,,,,,Integrated,,Ultraportable,Windows 7,,14 inches,,.86 inches,,3.97 pounds,,5 hr,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,,,,,,,14 inches,LCD,,,,,,,,,,,,,,Integrated,,,,,,,,,,"Red, Silver",,Ultraportable,.86 inches,3.97 pounds,,,No,Chiclet,,,4 GB,,,,,Trackpad,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,3,,,,,,,,,,AMD,,4,,A8,,Lenovo,IdeaPad S405,http://www.theverge.com/products/ideapad-s405/6046,,,,,,,Windows 7,,,Yes,"Other, SD",1 TB,,32 GB,"HDD (Unspecified RPM), Flash Memory (SSD)",,,
IdeaPad S400,,Dolby Advanced Audio v2,2,,,,,Intel,Ivy Bridge,,Optional,,Budget,Windows 7,,14 inches,,.86 inches,,3.97 pounds,,5 hr,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,,,,,,,14 inches,LCD,,,,,,,,,,,,,,Optional,,,,,AMD,Radeon 7450M,,,,"Red, Silver",,Budget,.86 inches,3.97 pounds,,,No,Chiclet,,,4 GB,,,,,Trackpad,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,3,,,,Intel,Ivy Bridge,,,Core i3,,Intel,,,Ivy Bridge,Core i5,,Lenovo,IdeaPad S400,http://www.theverge.com/products/ideapad-s400/6045,,,,,,,Windows 7,,,Yes,"Other, SD",500 GB,,32 GB,"HDD (Unspecified RPM), Flash Memory (SSD)",,,720p
IdeaPad S300,,Dolby Advanced Audio v2,2,,,,,Intel,Ivy Bridge,,,,Budget,Windows 7,,13.3 inches,,.86 inches,,.97 pounds,,5 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3 inches,LCD,,,,,,,,,,,,,,,,,,,,,,,,"Pink, Silver",,Budget,.86 inches,.97 pounds,,,No,Chiclet,,,4 GB,,,,,Trackpad,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,3,,,,Intel,Ivy Bridge,,,Core i3,,Intel,,,Ivy Bridge,Core i5,,Lenovo,IdeaPad S300,http://www.theverge.com/products/ideapad-s300/6044,,,,,,,Windows 7,,,Yes,"Other, SD",500 GB,,,"HDD (Unspecified RPM), Flash Memory (SSD)",,,720p
"Series 5 Ultra (13-inch, late 2012)",,,2,,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,Ultraportable,Windows 8,,13.3 inches,,0.69 inches,Capacitive,3.24 pounds,Lithium Polymer (Li-Po),7 hr,,5120 mAh,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,,,Yes,,1366 px,768 px,13.3 inches,LCD,Capacitive,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4000,,,,,,,,Silver,8.6 inches,Ultraportable,0.69 inches,3.24 pounds,12.4 inches,,,Chiclet,4 GB,,,,DDR3,,,Trackpad,,,,1,,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,,,,Intel,Ivy Bridge,1.7 GHz,22,Core i5-3317U ,2.6 GHz,,,,,,,Samsung,"Series 5 Ultra (13-inch, late 2012)",http://www.theverge.com/products/series-5-ultra-13-inch-late-2012/6040,,,,,,,Windows 8,500 GB,HDD (5400RPM),Yes,"SD, MMC",,,128 GB,"HDD (5400RPM), Flash Memory (SSD), Hybrid Drive",1.3 megapixels,,
Zenbook U500VZ,,,,,,,,Intel,Ivy Bridge,,,,Ultraportable,,,15 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 inches,IPS LCD,,,,,,,,,,,,,,,,,,,Nvidia,GT650M,,,,Silver / Black,,Ultraportable,,,,Yes,Yes,Chiclet,,,,,,,,Trackpad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Ivy Bridge,,4,Core i7,,,,,,,,Asus,Zenbook U500VZ,http://www.theverge.com/products/zenbook-u500vz/6036,,,,,,,,,,,,500 GB,,512 GB,"HDD (Unspecified RPM), Flash Memory (SSD)",,,
VAIO Duo 11,VAIO Duo 11 Ultrabook,Dolby Home Theater v4,,,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,"Netbook, Convertible tablet",Windows 8,,11.6 inches,,0.7 inches,Dual-Digitizer,2.87 pounds,Lithium Polymer (Li-Po),4.75 hr,,4960 mAh,,,,,,,,,,,,,,Stylus,,,,Yes,4.0,,,,,,Yes,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,,,Yes,189.91,1920 px,1080 px,11.6 inches,IPS LCD,Dual-Digitizer,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4000,,,,,,,,Black,7.84 inches,"Netbook, Convertible tablet",0.7 inches,2.87 pounds,12.60 inches,Yes,,Chiclet,6 GB,1600 MHz,8 GB,,DDR3,,,Trackball,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,Intel,Ivy Bridge,1.8 GHz,2,Core i3-3217U,,Intel,1.9 GHz,2,Ivy Bridge,i7-3517U,3 GHz,Sony,VAIO Duo 11,http://www.theverge.com/products/vaio-duo-11/6031,,,,,,,Windows 8,128 GB,Flash (SSD),,"SD, Memory Stick Duo",,,256 GB,Flash Memory (SSD),,,720p
Series 7 Gamer Yellow 3D,NP700G7C,,,,,Yes,AMD,Intel,Ivy Bridge,,Discrete,,"Desktop replacement, Gaming PC",Windows 7,Tray-loading,17.3 inches,,1.3 inches,,8.4 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,LED,,,,1920 px,1080 px,17.3 inches,LCD,,,,,,,,,,,AMD,2 GB,Radeon HD7870M,Discrete,,,,,,,,,,Yellow,11.21 inches,"Desktop replacement, Gaming PC",1.3 inches,8.4 pounds,16.13 inches,Yes,Yes,Standard,8 GB,,,2,DDR3,,,Trackpad,,Tray-loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Ivy Bridge,2.3 GHz,4,Core i7-3610QM,3.3 GHz,,,,,,,Samsung,Series 7 Gamer Yellow 3D,http://www.theverge.com/products/series-7-gamer-yellow-3d/5957,,,,,,,Windows 7,,,,,1 TB,,128 GB,"HDD (Unspecified RPM), Flash Memory (SSD)",,,
Scorpius,P370EM Scorpius,"Sound Blaster X-Fi MB2, Onkyo",2,Yes,Yes,,Nvidia,Intel,Ivy Bridge,,Discrete,,"Desktop replacement, Gaming PC",Windows 7,Tray-loading,17.3 inches,,1.96 inches,,7.72 pounds,,,,"89.21 Wh, 8 cell",,,,,,,,,,,,,,,,,,Optional,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,"Matte, Glossy",,,1920 px,1080 px,17.3 inches,LCD,,,,,,,,,,,Nvidia,2 GB,GeForce GTX 675M,Discrete,,,,8 GB,Nvidia,GeForce GTX 680M,,,Yes,Black,11.26 inches,"Desktop replacement, Gaming PC",1.96 inches,7.72 pounds,16.5 inches,Yes,Yes,Standard,8 GB,,32 GB,4,DDR3,,,Trackpad,"DVD Super Multi, Blu-ray burner",Tray-loading,,1,1,,,1,,,1,,,1,,,,1,,,,,,,,,,,1,4,,,Intel,Ivy Bridge,2.5 GHz,2,Core i5-3210M,3.1 GHz,Intel,2.9 GHz,4,Ivy Bridge,Core i7-3920XM,3.8 GHz,Eurocom,Scorpius,http://www.theverge.com/products/scorpius/5954,Yes,,,Yes,,,Windows 7,500 GB,HDD (7200RPM),Yes,"Other, SD, miniSD, Memory Stick, Memory Stick Duo, MMC",3 TB,750 GB,1.8 TB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD), RAID 0 (HDD), RAID 1 (HDD)",2 megapixels,30,1080p
Vybe 15,,THX TruStudio Pro,4,,Yes,,Nvidia ,Intel,Ivy Bridge,,Discrete,,Gaming PC,Windows 7,Tray-loading,15.6 inches,,,,,Lithium Ion (Li-Ion),4 hr,Yes,"49 Wh, 6 cell",,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Matte,,141,1920 px,1080 px,15.6 inches,LCD,,,LED,,141,1920 px,1080 px,15.6 inches,LCD,,Nvidia ,2 GB,GeForce GT 650M,Discrete,,,,2 GB,Nvidia,GeForce GT 660M,,,,Black,,Gaming PC,,,,No,Yes,Chiclet,8 GB,1600 MHz,16 GB,,DDR3,,,Trackpad,Dual-layer DVD burner,Tray-loading,,,1,1,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,1,2,1,,Intel,Ivy Bridge,2.8 GHz,2,Core i5-3360M,3.5 GHz,Intel,2.7 GHz,4,Ivy Bridge,Core i7-3820QM,3.7 GHz,Maingear,Vybe 15,http://www.theverge.com/products/vybe-15/5940,,,,,,,Windows 7,500 GB,HDD (7200RPM),Yes,MMC,750 GB,1 TB,256 GB,"HDD (7200RPM), Flash Memory (SSD), Hybrid Drive",1.3 megapixels,,
Pulse 11,,,2,,,,Nivida,Intel,Sandy Bridge,,Switchable,GMA HD,Gaming PC,Windows 7,,11.6 inches,3 hours and 9 minutes,1.46 inches,,3.97 pounds,Lithium Ion (Li-Ion),,Yes,"6 cell, 62.16 Wh",,,2324,,8906,,,,,18453,3 hours and 9 minutes,,,,,,,Yes,3.0 + HS,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1366 px,768 px,11.6 inches,LCD,,,LED,,,1366 px,768 px,11.6 inches,LCD,,Nivida,2 GB,GeForce GT 650M,Switchable,Nvidia,GMA HD,,2 GB,Nivida,GeForce GT 650M,Intel,GMA HD,,Black,8.15 inches,Gaming PC,1.46 inches,3.97 pounds,11.3 inches,,Yes,Chiclet,4 GB,1600 MHz,16 GB,2,DDR3,,,Trackpad,,,,,1,1,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.5 GHz,2,Core i5-2450M,3.1 GHz,Intel,2.1 GHz,4,Ivy Bridge,Core i7-3612QM,3.1 GHz,Maingear,Pulse 11,http://www.theverge.com/products/pulse-11/5910,,,,,,,Windows 7,250 GB,HDD (7200RPM),,,750 GB,,480 GB,"HDD (7200RPM), Flash Memory (SSD)",1.3 megapixels,,
EON11-S,,,,,,,Intel,Intel,Sandy Bridge,,Discrete,,Gaming PC,Windows 7,External,11.6 inches,3 hours and 9 minutes,1.4 inches,,3.9 pounds,Lithium Ion (Li-Ion),410 min,Yes,6 cell,,,2422,,8890,,,,,17972,3 hours and 9 minutes,,,,,,,Optional,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,,,,,1366 px,768 px,11.6 inches,,,,,,,1366 px,768 px,11.6 inches,,,Intel,2 GB,Nvidia GT 650M,Discrete,,,,2 GB,Intel,Nvidia GT 650M,,,,"Gray, Red / Black, Silver",8.1 inches,Gaming PC,1.4 inches,3.9 pounds,11.2 inches,,No,Chiclet,4 GB,1600 MHz,16 GB,2,DDR3,,,Trackpad,"DVD±R/RW, BD-ROM",External,,1,1,,,,,,,,,1,,,,1,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.2 GHz,2,Pentium B960,,Intel,2.7 GHz,4,Ivy Bridge,Core i7-3820QM,3.7 GHz,Origin,EON11-S,http://www.theverge.com/products/eon11-s/5909,,,,,,,Windows 7,320 GB,HDD (7200RPM),Yes,Other,1 TB,,512 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",,,
"PowerBook G4 (12-inch, 2003)",,,2,,,,Nvidia,,G4,,,,Mainstream,Mac OS X,Slot-loading,12.1 inches,,1.18 inches,,4.6 pounds,Lithium Ion (Li-Ion),,,47 Wh,,,,,,,,,,,,,,,,,,Yes,1.1,,,,,,,,,Optional,"802.11b, 802.11a",,,,,,,,1024 px,768 px,12.1 inches,LCD,,,,,,,,,,,Nvidia,,GeForce4 420 Go,,,,,,,,,,,Silver,8.6 inches,Mainstream,1.18 inches,4.6 pounds,10.9 inches,,No,Standard,256 MB,266 MHz,640 MB,,DDR,,,Trackpad,DVD/CD-RW combo,Slot-loading,,1,1,,,,,,,,,1,10/100,1,,,,,,,,,1,,,,2,,,,,G4,867 MHz,1,PowerPC 7455 v3.3,,,,,,,,Apple,"PowerBook G4 (12-inch, 2003)",http://www.theverge.com/products/powerbook-g4-12-inch-2003/5898,,,,,,,Mac OS X,40 GB,HDD (4200RPM),,,60 GB,,,HDD (4200RPM),,,
Precision M6700,,,2,,,,AMD,Intel,Ivy Bridge,,Discrete,,Desktop replacement,Windows 7,Slot-loading,17.3 inches,,1.42 inches,,7.76 pounds,Lithium Ion (Li-Ion),,,9 cell,,,,,,,,,,,,,,,Optional,,,Yes,4.0,,,,,,,,HSPA+,Yes,802.11n,,,,LED,,,,1600 px,900 px,17.3 inches,LCD,,,LED,,,1920 px,1080 px,17.3 inches,IPS LCD,,AMD,2 GB,FirePro M6000 Mobility Pro,Discrete,,,,4 GB,Nvidia,Quadro K5000M,,,,Black,10.65 inches,Desktop replacement,1.42 inches,7.76 pounds,16.41 inches,Optional,Yes,Standard,,1600 MHz,32 GB,4,DDR3,Yes,,Trackpad,"DVD-ROM, DVD±R/RW, BD-ROM, Blu-ray burner",Slot-loading,,,,1,"ExpressCard/54, Smart Card",1,,,1,,Yes,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,2,1,,Intel,Ivy Bridge,,,Core i5-3320M,,Intel,,,Ivy Bridge,Core i7-3920XM,,Dell,Precision M6700,http://www.theverge.com/products/precision-m6700/5895,,,,Optional,,,Windows 7,,,Yes,,1 TB,,512 GB,"HDD (Unspecified RPM), Flash Memory (SSD)",,,
Precision M4700,,,2,,,,AMD,Intel,Ivy Bridge,,Discrete,,Desktop replacement,Windows 7,Slot-loading,15.6 inches,,1.44 inches,,6.33 pounds,Lithium Ion (Li-Ion),,,6 cell,,,,,,,,,,,,,,,Optional,,,Yes,4.0,,,,,,,,HSPA+,Yes,802.11n,,,,LED,,,,1366 px,768 px,15.6 inches,LCD,,,LED,,,1920 px,1080 px,15.6 inches,IPS LCD,,AMD,1 GB,FirePro M4000 Mobility Pro,Discrete,,,,2 GB,Nvidia,Quadro K2000M,,,,Black,10.08 inches,Desktop replacement,1.44 inches,6.33 pounds,14.8 inches,Optional,Yes,Standard,,1600 MHz,32 GB,4,DDR3,Yes,,Trackpad,"DVD-ROM, DVD±R/RW, BD-ROM, Blu-ray burner",Slot-loading,,,,1,"ExpressCard/54, Smart Card",1,,,1,,Yes,1,,,,1,,,,,,,,,,,3,2,1,,Intel,Ivy Bridge,,,Core i5-3320M,,Intel,,,Ivy Bridge,Core i7-3920XM,,Dell,Precision M4700,http://www.theverge.com/products/precision-m4700/5894,,,,Optional,,,Windows 7,,,Yes,,1 TB,,512 GB,"HDD (Unspecified RPM), Flash Memory (SSD)",,,
"MacBook Pro (15-inch, mid 2010)",,,2,Yes,,,Nvidia,Intel,Arrandale,,,HD Graphics,Mainstream,Mac OS X,Slot-loading,15.4 inches,,.95 inches,,5.6 pounds,Lithium Polymer (Li-Po),8 hr,No,77.5 Wh,,,,,,,,,,,,,,,,,"5GHz, 2.4GHz",Yes,2.1 + EDR,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,"Matte, Glossy",,,1440 px,900 px,15.4 inches,LCD,,,LED,,,1680 px,1050 px,15.4 inches,LCD,,Nvidia,256 MB,GeForce GT 330M,,Intel,HD Graphics,,512 MB,Nvidia,GeForce 330M,Intel,HD Graphics,,Silver,9.82 inches,Mainstream,.95 inches,5.6 pounds,14.35 inches,Yes,No,Chiclet,4 GB,,8 GB,2,DDR3,Yes,,Trackball,DVD±R/RW,Slot-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,,,,,,1,,,,,,2,,,,Intel,Arrandale,2.4 GHz,2,Core i5-520M,,Intel,2.66 GHz,,Arrandale,Core i5-640M,,Apple,"MacBook Pro (15-inch, mid 2010)",http://www.theverge.com/products/macbook-pro-15-inch-mid-2010/5875,,,Yes,,,,Mac OS X,320 GB,HDD (5400RPM),Yes,SD,500 GB,,512 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",,,VGA
Lifebook T902,,,2,,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,Convertible tablet,Windows 7,Tray-loading,13.3 inches,,1.22 inches,,4.41 pounds,Lithium Ion (Li-Ion),7.6 hr,,"6 cell, 72 Wh, 6700 mAh",,,,,,,,,,,,,,,Yes,,"5GHz, 2.4GHz",Yes,4.0,,,Yes,Yes,Optional,,,"UMTS, LTE, EDGE, HSUPA, HSDPA, GPRS",Optional,"802.11n, 802.11g, 802.11b, 802.11a",,,,,Matte,Yes,,1600 px,900 px,13.3 inches,,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4000,,,,,,,,,9.61 inches,Convertible tablet,1.22 inches,4.41 pounds,12.83 inches,,,,,1600 MHz,16 GB,2,DDR3,Yes,,"Trackpad, Stylus","DVD Super Multi, BD Combo",Tray-loading,,1,1,,,,,,,,Yes,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,2,2,1,,Intel,Ivy Bridge,2.6 GHz,2,Core i5-3320M,3.3 GHz,Intel,2.9 GHz,2,Ivy Bridge,Core i7-3520M,3.6 GHz,Fujitsu,Lifebook T902,http://www.theverge.com/products/lifebook-t902/5862,Optional,,Yes,Optional,,,Windows 7,320 GB,HDD (5400RPM),Yes,,500 GB,,256 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD), Other",,,
XNote N550,N550-PE5AK,,,,,,AMD,Intel,Ivy Bridge,,Discrete,,Mainstream,Windows 7,,15.6 inches,,,,5.36 pounds,,,,6 cell,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,,,,,,LED,,,,1600 px,900 px,15.6 inches,LCD,,,,,,,,,,,AMD,1 GB,Radeon HD7650M,Discrete,,,,,,,,,,White,,Mainstream,,5.36 pounds,,,,Chiclet,4 GB,,,,DDR3,,,,DVD±R/RW,,,,,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,,,1,,Intel,Ivy Bridge,2.5 GHz,,Core i5-3210M,,,,,,,,LG,XNote N550,http://www.theverge.com/products/xnote-n550/5860,,,,,,,Windows 7,500 GB,,,,,,,,,,
XPS 15 (2012),,,2,,,,Nvidia,Intel,Ivy Bridge,,Switchable,HD Graphics 4000,Mainstream,Windows 7,Slot-loading,15.6 inches,,0.91 inches,,5.79 pounds,Lithium Polymer (Li-Po),,No,"65 Wh, 9 cell",,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,WiDi,,WLED,,,,1920 px,1080 px,15.6 inches,LCD,,,,,,,,,,,Nvidia,1 GB,GeForce GT 630M,Switchable,Intel,HD Graphics 4000,,2 GB,Nvidia,GeForce GT 640M,Intel,HD Graphics 4000,,Silver,9.8 inches,Mainstream,0.91 inches,5.79 pounds,14.6 inches,,,,6 GB,1600 MHz,16 GB,,DDR3,,,Trackpad,"DVD-R/RW, BD-ROM",Slot-loading,,1,,1,,,,,,,,1,,,,1,,,,,1,,,,,,,3,,,Intel,Ivy Bridge,2.5 GHz,2,Core i5-3210M,3.1 GHz,Intel,2.1 GHz,4,Ivy Bridge,Core i7-3612QM,3.1 GHz,Dell,XPS 15 (2012),http://www.theverge.com/products/xps-15-2012/5819,,,,,,,Windows 7,500 GB,HDD (7200RPM),Yes,"Other, SD",1 TB,1128 GB,,"HDD (5400RPM), HDD (7200RPM), Hybrid Drive",1.3 megapixels,,
